Time,Description,IP,Slave,Register,Register_Name,Value
2025-07-11 08:45:19,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),99840.0
2025-07-11 08:50:19,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),99840.0
2025-07-11 08:55:20,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),99840.0
2025-07-11 09:00:20,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),99840.0
2025-07-11 09:05:20,PM C1L1 Substation,10.129.7.21,3,2344,Active Energy Net Sum Element (MSW),99840.0
2025-07-11 09:10:20,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),268288.0
2025-07-11 09:15:20,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),268288.0
2025-07-11 09:20:20,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),268288.0
2025-07-11 09:25:20,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),268288.0
2025-07-11 09:30:20,PM C1L2 Substation,10.129.7.22,4,2344,Active Energy Net Sum Element (MSW),268288.0
2025-07-11 09:35:20,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),223232.0
2025-07-11 09:40:20,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),223232.0
2025-07-11 09:45:20,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),223232.0
2025-07-11 09:50:20,PM C2P Substation,10.129.7.25,5,2344,Active Energy Net Sum Element (MSW),223232.0
